SocialPromptName,templatePromptText,packagedTemplatePromptTextForAI,socialPostType
tomorrowsNewsletter,"Tomorrow’s [content eg. newsletter, podcast episode] will be [BigPromise] for anyone who wants [DesiredOutcome]. If you’re not on the list yet, let me know.","##Tomorrow’s [content eg. newsletter, podcast episode] will be [BigPromise] for anyone who wants [DesiredOutcome]. If you’re not on the list yet, let me know.

",hype
everTried,"If you've ever tried to [result they've tried to get], but ended up in the same place... this week's [content eg. newsletter or podcast episode, etc] goes deeper on this topic 👇: [Link]","##If you've ever tried to [result they've tried to get], but ended up in the same place... this week's [content eg. newsletter or podcast episode, etc] goes deeper on this topic 👇: [Link]

",painPoints
threeThingsResult,"You need [Number of things] things to [desired result]. 
The first is [thing 1]. 
The second is [thing 2]. 
And the third [thing 3]. 
If you have those, then [desired outcome] is fully attainable.","##You need [Number of things] things to [desired result]. 
The first is [thing 1]. 
The second is [thing 2]. 
And the third [thing 3]. 
If you have those, then [desired outcome] is fully attainable.

",miscellaneous
90%ofX,"90% of [Outcome] is really just:
[Simple Habit #1].
[Simple Habit #2].
[Simple Habit #3].
The little stuff that makes all the difference.","##90% of [Outcome] is really just:
[Simple Habit #1].
[Simple Habit #2].
[Simple Habit #3].
The little stuff that makes all the difference.

",leanWriting
Lessons on thing I did today,"[DidThisThingToday]
[ShortContext]
Here are [X] lessons I learned in [X Time]
[Lesson1]
[Lesson2]
[Lesson3]
[Lesson4]
[Lesson5]
Hope that's helpful.","##[DidThisThingToday]
[ShortContext]
Here are [X] lessons I learned in [X Time]
[Lesson1]
[Lesson2]
[Lesson3]
[Lesson4]
[Lesson5]
Hope that's helpful.

",eduContent
desiredOutcomeHard,"[Desired outcome] doesn't have to be hard. In my next [content piece eg. newsletter, youtube video, podcast], [Title], you'll see how simple it is to [Desired Outcome].","##[Desired outcome] doesn't have to be hard. In my next [content piece eg. newsletter, youtube video, podcast], [Title], you'll see how simple it is to [Desired Outcome].

",hype
fromCurrentToDesired,"Going from [current situation] to [Desired Outcome] is easy when you have the right [system/method/framework/idea]. I’ll talk about it in the next [content piece eg. newsletter, youtube video, podcast], [Title], which will be launching soon.","##Going from [current situation] to [Desired Outcome] is easy when you have the right [system/method/framework/idea]. I’ll talk about it in the next [content piece eg. newsletter, youtube video, podcast], [Title], which will be launching soon.

",hype
numberOfKeysToDesire,"[Number] Keys to get [Desired outcome]: 
- [Key1] 
- [Key2] 
- [Key3]. 
I’ll/We’ll talk about this in the next [content piece eg. newsletter, youtube video, podcast], [Title].","##[Number] Keys to get [Desired outcome]: 
- [Key1] 
- [Key2] 
- [Key3]. 
I’ll/We’ll talk about this in the next [content piece eg. newsletter, youtube video, podcast], [Title].

",hype
titleContentFeature,"[Title] is published! 
Get: 
- [Feature1] 
- [Feature2] 
- [Feature3]. 
Start here. [Link]","##[Title] is published! 
Get: 
- [Feature1] 
- [Feature2] 
- [Feature3]. 
Start here. [Link]

",hype
finallyHere,"[Title] is finally here! 
Get: 
- [Benefit1] 
- [Benefit2] 
- [Benefit3]. 
Let me/us know your biggest takeaway!","##[Title] is finally here! 
Get: 
- [Benefit1] 
- [Benefit2] 
- [Benefit3]. 
Let me/us know your biggest takeaway!

",hype
resultsInThreeSteps,"How to [result your content can get]:
- [Step 1] 
- [Step 2] 
- [Step 3]. Learn more here. [Link]","##How to [result your content can get]:
- [Step 1] 
- [Step 2] 
- [Step 3]. Learn more here. [Link]

",miscellaneous
threeReasonsILove,"Top 3 reasons I love about [Thing|Action|Career: eg: selling ebooks, copywriting, web design]. 
1. [Reason1] 
2. [Reason2] 
3. [Reason3]. 
Sound interesting? Click 👇. [Link]""","##Top 3 reasons I love about [Thing|Action|Career: eg: selling ebooks, copywriting, web design]. 
1. [Reason1] 
2. [Reason2] 
3. [Reason3]. 
Sound interesting? Click 👇. [Link]""

",miscellaneous
